AuthorityCode,1991,2001,2011,2012,2013,2014,2015,2016,2017,2018,2019
W06000001,69123,67806,69913,70037,70073,70141,69936,69665,69794,69961,70043
W06000002,115007,116844,121523,122007,121653,121897,122635,123323,123742,124178,124560
W06000003,107951,109674,115326,115553,115912,116420,116450,116820,116863,117181,117203
W06000004,89395,93070,93919,94053,94518,94837,94836,94984,95159,95330,95696
W06000005,142036,148629,152666,152776,153223,153819,154085,154626,155155,155593,156100
W06000006,124180,128540,135070,135498,135801,135953,135418,135408,135571,136126,135957
W06000008,119703,126398,133071,133015,132786,132777,132730,132337,132515,132447,132435
W06000009,65933,75417,75293,75932,75789,75133,74211,73665,73076,72992,72695
W06000010,112446,113058,122613,123135,123375,123826,123671,124237,124711,125055,125818
W06000011,169725,173652,183961,184332,184669,184968,185247,185754,186452,187568,188771
W06000012,229743,223463,238691,239460,240108,240966,242316,244462,245480,246466,246993
W06000013,138844,134380,139880,140081,139867,140453,140946,141678,142090,142906,143315
W06000014,129477,128735,139410,139769,140536,141287,142259,143408,144288,144876,147049
W06000015,118053,119277,126679,126998,127436,128009,127980,128891,130690,132165,133587
W06000016,296941,310088,345442,348724,352146,354829,357496,361168,362756,364248,366903
W06000018,234917,231910,234373,235612,236166,236871,237378,238179,239127,240131,241264
W06000019,59594,56207,58851,58907,59008,59056,59247,59714,59953,60183,60326
W06000020,170615,169546,178782,179014,179230,179933,180168,180453,180795,181019,181075
W06000021,72666,70000,69812,69806,69764,69653,69547,69630,69609,69713,69862
W06000022,90961,90912,91190,91346,91362,91549,91767,91994,92264,93049,93961
W06000023,80209,84984,91508,91737,92249,92540,92805,93276,93590,94142,94590
W06000024,135479,137642,145785,146275,146741,147119,147958,149478,151485,153302,154676
